73	40167,54	50	50	50	T	2,34	NA	81,09	3,08	5,43	0,00
74	40486,32	50	50	50	T	2,36	NA	81,10	3,07	5,43	0,00
75	40805,12	50	50	50	T	2,37	NA	81,11	3,06	5,42	0,00
76	41123,91	50	50	50	T	2,38	NA	81,12	3,04	5,42	0,00
77	41442,70	50	50	50	T	2,39	NA	81,09	3,05	5,44	0,00
78	41763,59	50	50	50	T	2,40	NA	81,11	3,03	5,44	0,00
79	42082,40	50	50	50	T	2,42	NA	81,11	3,02	5,44	0,00
80	42401,21	50	50	50	T	2,42	NA	81,10	3,02	5,44	0,00
81	42720,02	50	50	50	T	2,43	NA	81,11	3,01	5,44	0,00
82	43038,82	50	50	50	T	2,44	NA	81,12	3,00	5,44	0,00
83	43357,63	50	50	50	T	2,44	NA	81,12	3,00	5,44	0,00
84	43676,44	50	50	50	T	2,45	NA	81,11	3,00	5,45	0,00
85	43996,36	50	50	50	T	2,47	NA	81,11	2,98	5,45	0,00
86	44315,17	50	50	50	T	2,47	NA	81,10	2,98	5,45	0,00
87	44633,99	50	50	50	T	2,48	NA	81,11	2,97	5,45	0,00
88	44952,80	50	50	50	T	2,48	NA	81,11	2,97	5,45	0,00
89	45271,62	50	50	50	T	2,48	NA	81,11	2,97	5,45	0,00
90	45590,44	50	50	50	T	2,49	NA	81,12	2,96	5,45	0,00
91	45910,41	50	50	50	T	2,49	NA	81,12	2,96	5,45	0,00
92	46229,23	50	50	50	T	2,49	NA	81,11	2,96	5,45	0,00
93	46548,05	50	50	50	T	2,49	NA	81,10	2,96	5,45	0,00
94	46866,88	50	50	50	T	2,50	NA	81,11	2,95	5,45	0,00
95	47185,70	50	50	50	T	2,50	NA	81,11	2,95	5,45	0,00
96	47504,53	50	50	50	T	2,51	NA	81,11	2,95	5,46	0,00
97	47824,55	50	50	50	T	2,53	NA	81,11	2,93	5,46	0,00
98	48143,38	50	50	50	T	2,53	NA	81,10	2,93	5,46	0,00
99	48462,21	50	50	50	T	2,53	NA	81,12	2,93	5,46	0,00
100	48781,05	50	50	50	T	2,53	NA	81,11	2,93	5,46	0,00
101	49099,88	50	50	50	T	2,53	NA	81,12	2,93	5,46	0,00
102	49418,71	50	50	50	T	2,54	NA	81,11	2,92	5,46	0,00
103	49738,79	50	50	50	T	2,54	NA	81,12	2,92	5,46	0,00
104	50057,63	50	50	50	T	2,54	NA	81,10	2,92	5,46	0,00
105	50376,47	50	50	50	T	2,54	NA	81,13	2,92	5,46	0,00
106	50695,31	50	50	50	T	2,54	NA	81,12	2,92	5,46	0,00
107	51014,15	50	50	50	T	2,54	NA	81,12	2,92	5,46	0,00
108	51332,99	50	50	50	T	2,54	NA	81,10	2,92	5,46	0,00
109	51653,13	50	50	50	T	2,55	NA	81,11	2,91	5,46	0,00
110	51971,98	50	50	50	T	2,55	NA	81,11	2,91	5,46	0,00
111	52290,83	50	50	50	T	2,55	NA	81,11	2,91	5,46	0,00
112	52609,68	50	50	50	T	2,55	NA	81,12	2,91	5,46	0,00
113	52928,52	50	50	50	T	2,55	NA	81,12	2,91	5,46	0,00
114	53247,37	50	50	50	T	2,55	NA	81,13	2,91	5,46	0,00
115	53566,22	50	50	50	T	2,55	NA	81,11	2,91	5,46	0,00
116	53886,42	50	50	50	T	2,55	NA	81,12	2,91	5,46	0,00
117	54205,28	50	50	50	T	2,56	NA	81,12	2,90	5,46	0,00
118	54524,13	50	50	50	T	2,56	NA	81,11	2,90	5,46	0,00
119	54842,99	50	50	50	T	2,56	NA	81,11	2,90	5,46	0,00
120	55161,85	50	50	50	T	2,56	NA	81,11	2,90	5,46	0,00
121	55480,70	50	50	50	T	2,56	NA	81,12	2,90	5,46	0,00
122	55800,96	50	50	50	T	2,56	NA	81,13	2,90	5,46	0,00
123	56119,82	50	50	50	T	2,56	NA	81,13	2,90	5,46	0,00
124	56438,69	50	50	50	T	2,56	NA	81,13	2,90	5,46	0,00
125	56757,55	50	50	50	T	2,58	NA	81,11	2,89	5,46	0,00
126	57076,41	50	50	50	T	2,58	NA	81,12	2,88	5,46	0,00
127	57395,28	50	50	50	T	2,58	NA	81,13	2,88	5,46	0,00
128	57715,59	50	50	50	T	2,58	NA	81,12	2,88	5,46	0,00
129	58034,46	50	50	50	T	2,58	NA	81,11	2,88	5,46	0,00
130	58353,34	50	50	50	T	2,58	NA	81,12	2,88	5,46	0,00
131	58672,21	50	50	50	T	2,58	NA	81,12	2,88	5,46	0,00
132	58991,08	50	50	50	T	2,58	NA	81,12	2,88	5,46	0,00
133	59309,95	50	50	50	T	2,58	NA	81,12	2,88	5,46	0,00
134	59630,32	50	50	50	T	2,59	NA	81,12	2,87	5,46	0,00
135	59949,20	50	50	50	T	2,59	NA	81,12	2,87	5,46	0,00
136	60268,09	50	50	50	T	2,59	NA	81,13	2,87	5,46	0,00
137	60586,96	50	50	50	T	2,59	NA	81,11	2,87	5,46	0,00
138	60905,84	50	50	50	T	2,59	NA	81,11	2,87	5,46	0,00
139	61224,72	50	50	50	T	2,59	NA	81,11	2,87	5,46	0,00
